Name,Age,R,H,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,Pos Summary
John Lamb*,24,0,1,1,0,0,1,0,0,8,.063,.063,1
Mat Latos,27,1,7,0,0,0,1,0,0,7,.292,.292,1
Mat Latos,27,0,5,0,0,0,1,0,0,6,.278,.278,1
Mike Leake,27,4,8,3,0,2,8,0,0,36,.116,.116,1
Mike Leake,27,3,7,3,0,1,5,0,0,25,.135,.135,1
DJ LeMahieu,26,85,170,21,5,6,61,23,50,107,.301,.358,4
Jon Lester*,31,6,4,0,0,0,0,0,3,30,.065,.108,1
Tim Lincecum*,31,0,3,1,0,0,0,0,2,10,.143,.217,1
Adam Lind*,31,72,139,32,0,20,87,0,66,100,.277,.360,3
Francisco Liriano*,31,4,11,2,0,1,7,0,0,28,.169,.169,1
Jose Lobaton#,30,11,27,4,0,3,20,0,15,40,.199,.279,2
Jeff Locke*,27,1,3,1,0,0,2,0,2,18,.067,.106,1
Kyle Lohse,36,3,9,1,0,0,1,0,0,10,.231,.231,1
Michael Lorenzen,23,4,9,0,1,0,4,0,0,13,.250,.270,1
Jonathan Lucroy,29,51,98,20,3,7,43,1,36,64,.264,.326,3
Jordan Lyles,24,0,0,0,0,0,0,0,0,11,.000,.000,1
Lance Lynn,28,3,8,2,0,0,1,0,0,26,.160,.160,1
Tyler Lyons*,27,3,3,0,0,0,1,0,2,4,.188,.278,1
Martin Maldonado,28,19,48,7,0,4,22,0,23,65,.210,.282,3
Nick Markakis*,31,73,181,38,1,3,53,2,70,83,.296,.370,7
Starling Marte,26,84,166,30,2,19,81,30,27,123,.287,.337,7
Carlos Martinez,23,2,8,2,0,0,0,0,1,23,.143,.172,1
Justin Maxwell,31,26,52,8,2,7,26,2,20,76,.209,.275,7
John Mayberry,31,8,18,6,1,3,9,1,9,33,.164,.227,7
Cameron Maybin,28,65,135,18,2,10,59,23,45,102,.267,.327,7
Andrew McCutchen,28,91,165,36,3,23,96,11,98,133,.292,.401,7
Casey McGehee,32,14,47,12,0,2,20,1,21,50,.198,.264,5
Casey McGehee,32,7,27,5,0,2,11,0,11,28,.213,.275,5
Casey McGehee,32,7,20,7,0,0,9,1,10,22,.182,.250,5
Michael McKenry,30,20,26,7,3,4,17,2,22,41,.205,.329,2
Jordy Mercer,28,34,96,21,0,3,34,3,27,73,.244,.293,6
Will Middlebrooks,26,23,54,7,2,9,29,2,11,60,.212,.241,6
Shelby Miller,24,1,3,2,0,0,0,0,4,29,.054,.117,1
Yadier Molina,32,34,132,23,2,4,61,3,32,59,.270,.310,2
Miguel Montero*,31,36,86,11,0,15,53,1,49,103,.248,.345,2
Tyler Moore,28,14,38,12,0,6,27,0,11,45,.203,.250,7
Adam Morgan*,25,2,2,1,0,0,1,0,0,12,.077,.077,1
Justin Morneau*,34,19,52,10,3,3,15,0,13,25,.310,.363,3
Mike Morse,33,14,53,7,1,5,19,0,23,76,.231,.313,7
Mike Morse,33,8,34,4,0,4,12,0,12,55,.213,.276,7
Charlie Morton,31,0,1,0,0,0,1,0,1,18,.028,.054,1
Brandon Moss*,31,11,33,7,1,4,8,0,17,42,.250,.344,7
Daniel Murphy*,30,56,140,38,2,14,73,2,31,38,.281,.322,5
